dataset_id,dataset_name,n_rows_used,n_features_used,best_algorithm,mf_pymfe_attr_conc.mean,mf_pymfe_attr_ent.mean,mf_pymfe_attr_to_inst,mf_pymfe_cat_to_num,mf_pymfe_class_conc.mean,mf_pymfe_class_ent,mf_pymfe_eq_num_attr,mf_pymfe_freq_class.mean,mf_pymfe_inst_to_attr,mf_pymfe_joint_ent.mean,mf_pymfe_mut_inf.mean,mf_pymfe_nr_attr,mf_pymfe_nr_bin,mf_pymfe_nr_cat,mf_pymfe_nr_class,mf_pymfe_nr_inst,mf_pymfe_nr_num,mf_pymfe_ns_ratio,mf_pymfe_num_to_cat
62,zoo,101,17,logreg,0.20308375681546773,1.1900015608270238,0.16831683168316833,16.0,0.6106494773910296,2.390559682294039,3.6359749400978956,0.14285714285714285,5.9411764705882355,2.923087052105413,0.6574741910156496,17.0,15.0,16.0,7.0,101.0,1.0,0.8099593521515107,0.0625
164,molecularbiologypromoters,106,58,random_forest,0.11109321253958752,2.0287730095343863,0.5471698113207547,0.0,0.03092298726102831,1.0,12.867014456835635,0.5,1.8275862068965518,2.9510549030261006,0.07771810650828541,58.0,0.0,58.0,2.0,106.0,0.0,25.104251643316886,0.0
173,173,323,12,random_forest,0.08511942229179413,0.7669737587650655,0.03715170278637771,0.2,0.17830872087069327,2.3217093793569346,11.543575078447905,0.16666666666666666,26.916666666666668,2.8875574588086987,0.2011256793133017,12.0,7.0,2.0,6.0,323.0,10.0,2.813405435763969,5.0
174,174,1066,12,logreg,0.08101583275238215,0.7057457149536818,0.01125703564727955,0.2,0.21077429336343803,2.3619559539858366,10.691763369608772,0.16666666666666666,88.83333333333333,2.8467880672880193,0.22091360165149862,12.0,4.0,2.0,6.0,1066.0,10.0,2.194668457160135,5.0
181,yeast,1200,8,logreg,0.010133836500143668,2.331152128515619,0.006666666666666667,0.0,0.1383819104641446,2.488304507472731,12.206317936809661,0.1,150.0,4.615602818616532,0.20385381737181701,8.0,1.0,0.0,10.0,1200.0,8.0,10.43541072014236,0.0
185,baseball,1200,17,logreg,0.1293058260764985,3.660909557143202,0.014166666666666666,0.13333333333333333,0.02595579950551253,0.5402951560690046,3.474009404934533,0.3333333333333333,70.58823529411765,4.04567975829943,0.15552495491277643,17.0,0.0,2.0,3.0,1200.0,15.0,22.53904914614096,7.5
187,wine,178,13,random_forest,0.06501435446783183,2.3173058075119184,0.07303370786516854,0.0,0.15279085821137312,1.5668222768551812,3.182906145364251,0.3333333333333333,13.692307692307692,3.3918665456041106,0.49226153876298934,13.0,0.0,0.0,3.0,178.0,13.0,3.7074687438208307,0.0
188,eucalyptus,736,19,random_forest,0.1946968445166733,2.601927542428127,0.025815217391304348,0.35714285714285715,0.05639579894375232,2.2620836204282746,8.871665309623655,0.19999999999999998,38.73684210526316,4.609032695851513,0.25497846700488686,19.0,1.0,5.0,5.0,736.0,14.0,9.204499121011105,2.8
194,cleveland,303,13,logreg,0.03824153468875506,1.653828565058498,0.0429042904290429,0.0,0.09810481856759087,1.8459421848523132,14.514760751192606,0.19999999999999998,23.307692307692307,3.372593856230311,0.12717689368049978,13.0,3.0,0.0,5.0,303.0,13.0,12.004159145554615,0.0
205,sleep,62,7,random_forest,0.17929080824136567,1.5679137898716349,0.11290322580645161,0.0,0.27459867996842313,2.260946655951994,5.131062656331182,0.19999999999999998,8.857142857142858,3.3882213799252177,0.4406390658984115,7.0,0.0,0.0,5.0,62.0,7.0,2.558272316765292,0.0
231,hungarian,294,13,knn,0.06726069999587897,1.2320504670626835,0.04421768707482993,0.0,0.10603266446489931,0.9431340036829803,12.555376945562982,0.5,22.615384615384617,2.100066534599885,0.07511793614577857,13.0,3.0,0.0,2.0,294.0,13.0,15.401548422093086,0.0
275,metaallarff,71,62,random_forest,0.09226383412065915,1.7235185590541366,0.8732394366197183,0.0,0.12923556891444468,1.7870659855526847,6.844007619995692,0.16666666666666666,1.1451612903225807,3.249470576771437,0.261113967835385,62.0,3.0,0.0,6.0,71.0,62.0,5.600637159865384,0.0
276,metabatchincrementalarff,74,62,logreg,0.0885586004215749,1.7086226662735746,0.8378378378378378,0.0,0.04779263952084204,1.3100298863676454,12.439759062713335,0.25,1.1935483870967742,2.9133426443252057,0.10530990831601399,62.0,3.0,0.0,4.0,74.0,62.0,15.224709465574117,0.0
277,metaensemblesarff,74,62,logreg,0.0885586004215749,1.7086226662735746,0.8378378378378378,0.0,0.08282122427273218,1.5437063431025682,8.947019601975617,0.25,1.1935483870967742,3.079790397438632,0.1725386119375102,62.0,3.0,0.0,4.0,74.0,62.0,8.902842309247283,0.0
