dataset_id,dataset_name,best_algorithm,score_logreg,score_knn,score_random_forest
458,analcatdataauthorship,knn,0.9923833189282627,0.9945594322885867,0.9945594322885867
459,analcatdataasbestos,logreg,0.7824675324675325,0.6915584415584416,0.7467532467532467
460,analcatdatareviewer,logreg,0.4830653021442495,0.4339668615984405,0.4205653021442495
461,analcatdatacreditscore,random_forest,0.6420454545454546,0.6022727272727273,1.0
463,backache,logreg,0.560790273556231,0.5,0.5
464,prnnsynth,logreg,0.9470128022759602,0.933854907539118,0.8933143669985775
465,analcatdatacyyoung,logreg,0.8354037267080745,0.5714285714285714,0.7142857142857143
466,schizo,random_forest,0.626877165960724,0.6482479784366577,0.7400847131305353
467,analcatdatajapansolvent,random_forest,0.8125,0.6875,0.9375
468,confidence,knn,0.8888888888888888,0.8888888888888888,0.861111111111111
469,analcatdatadmft,logreg,0.24913954219972578,0.1983710894545161,0.187410557048732
470,profb,knn,0.5116639027086789,0.5752902155887231,0.5713653952459923
471,471,random_forest,0.05555555555555556,0.05555555555555556,0.13796296296296298
472,lupus,logreg,0.8465909090909092,0.8011363636363636,0.7840909090909092
474,analcatdatamarketing,logreg,0.3668715846994536,0.2692622950819672,0.19487704918032786
475,analcatdatagermangss,logreg,0.31666666666666665,0.20833333333333331,0.27499999999999997
476,analcatdatabankruptcy,logreg,1.0,0.8571428571428572,0.875
478,478,random_forest,0.5987647537647539,0.4958498908498909,0.9596825396825396
479,analcatdatacyyoung,random_forest,0.8333333333333333,0.75,0.893939393939394
480,prnnviruses,logreg,0.875,0.625,0.875
481,biomed,random_forest,0.853804347826087,0.878804347826087,0.9222826086956522
501,analcatdataimpeach,random_forest,0.8564593301435407,0.700956937799043,0.9019138755980861
502,analcatdatawhale,knn,1.0,1.0,1.0
504,analcatdatasupreme,random_forest,0.301025641025641,0.4716094050876659,0.7990326340326339
506,analcatdatagsssexsurvey,logreg,0.36229086229086227,0.24324324324324326,0.27895752895752896
510,sleep,random_forest,0.5,0.65,0.6666666666666667
516,pbcseq,random_forest,0.7227671432526553,0.5774005461247642,0.8144384165159684
524,pbc,logreg,0.5452380952380952,0.4666666666666666,0.5295634920634921
540,mu,random_forest,0.19,0.19666666666666666,0.43
546,sensory,random_forest,0.09109017903484307,0.07852950738326232,0.11765737556251392
553,kidney,random_forest,0.20588235294117646,0.17647058823529413,0.7647058823529411
679,rmftsasleepdata,random_forest,0.3354531750518184,0.4256905196014982,0.4370468145219537
682,sleuthex,logreg,0.8323863636363636,0.7244318181818181,0.7698863636363636
683,sleuthex,random_forest,0.7777777777777777,0.6666666666666666,0.8888888888888888
685,visualizinglivestock,random_forest,0.35,0.3178571428571429,0.37142857142857144
692,rabe,random_forest,0.8166666666666667,0.8166666666666667,0.9
694,diggletablea,random_forest,0.8409090909090908,0.9234006734006734,0.9242424242424243
700,chscasewhale,logreg,1.0,0.9701426024955437,1.0
703,chscasefoot,logreg,0.3327852454748496,0.31609597018402047,0.2536413587098012
710,rabe,logreg,0.95,0.9,0.8
713,vineyard,knn,0.8888888888888888,0.8888888888888888,0.8888888888888888
714,fruitfly,knn,0.5579710144927537,0.5579710144927537,0.4826086956521739
716,fric,random_forest,0.5765550239234449,0.39952153110047844,0.6291866028708134
717,rmftsaladata,logreg,0.8746962860118015,0.823325234293648,0.8746962860118015
719,veteran,knn,0.5848806366047745,0.6618037135278514,0.6578249336870027
720,abalone,knn,0.7166579215407883,0.7585573628815705,0.7446834778851199
721,pwLinear,logreg,0.8837597330367075,0.832035595105673,0.8492769744160178
724,analcatdatavineyard,knn,0.565018315018315,0.8821733821733821,0.8485958485958486
726,fric,random_forest,0.6666666666666667,0.7361111111111112,0.75
728,analcatdatasupreme,random_forest,0.9538278730266507,0.9036666100831777,0.9709302325581395
729,visualizingslope,random_forest,0.788888888888889,0.8444444444444444,0.8888888888888888
730,fric,random_forest,0.6517094017094017,0.8685897435897436,0.8931623931623931
731,baskball,random_forest,0.65,0.6190476190476191,0.6523809523809523
732,fric,logreg,0.7857142857142858,0.6196428571428572,0.7678571428571428
733,machinecpu,random_forest,0.8714833759590792,0.8714833759590792,0.9117647058823529
736,visualizingenvironmental,knn,0.59375,0.6215277777777778,0.59375
737,spacega,random_forest,0.8243919002345969,0.7884924064699346,0.8275095690826028
738,pharynx,random_forest,0.7094594594594594,0.6959459459459459,0.7364864864864865
739,sleep,logreg,0.7333333333333334,0.6833333333333333,0.6277777777777778
740,fric,random_forest,0.6893939393939394,0.7678571428571428,0.9096320346320346
741,rmftsasleepdata,knn,0.6793801391524352,0.7206831119544592,0.6885093822475227
743,fric,random_forest,0.63304375083964,0.9173346469034078,0.9480094935291747
744,fric,random_forest,0.7813852813852814,0.8376623376623377,0.854978354978355
745,autoprice,logreg,0.96875,0.90625,0.9375
746,fric,random_forest,0.6224563953488372,0.610828488372093,0.8986191860465116
747,servo,logreg,0.9743589743589743,0.9455128205128205,0.9743589743589743
748,analcatdatawildcat,knn,0.6714285714285714,0.8714285714285714,0.7642857142857142
749,fric,random_forest,0.6586735603494385,0.9071135674808344,0.924674630058834
750,pm,random_forest,0.5471194879089616,0.5449857752489331,0.5928165007112376
751,fric,random_forest,0.6447510822510822,0.7521645021645021,0.8804112554112554
753,wisconsin,knn,0.5190972222222222,0.5462962962962963,0.5063657407407407
754,fric,random_forest,0.7276785714285714,0.7946428571428572,0.8616071428571428
755,sleuthex,random_forest,0.8944444444444444,0.788888888888889,0.9
756,autoPrice,logreg,0.96875,0.90625,0.9375
757,meta,random_forest,0.5,0.5277534965034965,0.5692744755244755
758,analcatdataelection,random_forest,0.8333333333333333,0.8333333333333333,0.9166666666666667
759,analcatdataolympic,random_forest,0.95,0.8500000000000001,1.0
762,fric,random_forest,0.7398190045248869,0.6131221719457014,0.7782805429864253
763,fric,random_forest,0.7731152204836416,0.7471550497866287,0.8798008534850641
764,analcatdataapnea,random_forest,0.5,0.6470588235294118,0.8108175473579262
765,analcatdataapnea,random_forest,0.5,0.6801782682512734,0.7550933786078098
767,analcatdataapnea,random_forest,0.5,0.7102222222222222,0.8608888888888888
768,fric,random_forest,0.8144796380090498,0.660633484162896,0.8348416289592759
769,fric,random_forest,0.5817790530846485,0.5570301291248206,0.6452654232424677
770,strikes,random_forest,0.6169779286926995,0.8303338992642897,0.9786078098471986
771,analcatdatamichiganacc,knn,0.7555555555555555,0.7555555555555555,0.7277777777777777
772,quake,random_forest,0.504375,0.44875,0.51
773,fric,random_forest,0.7855618776671409,0.6923897581792319,0.7990753911806543
774,disclosurexbias,logreg,0.5651315789473684,0.5035425101214575,0.4767712550607287
775,fric,random_forest,0.5927601809954751,0.660633484162896,0.7963800904977376
776,fric,knn,0.771692745376956,0.811877667140825,0.80049786628734
777,sleuthex,logreg,0.8888888888888888,0.75,0.8333333333333333
778,bodyfat,logreg,1.0,0.8832293832293832,1.0
779,fric,random_forest,0.5964285714285714,0.6142857142857143,0.8633928571428571
780,rabe,logreg,0.6587301587301587,0.4365079365079365,0.5476190476190476
782,rabe,knn,0.9736842105263157,1.0,0.9736842105263157
783,fric,random_forest,0.5416666666666666,0.6388888888888888,0.7222222222222222
784,newtonhema,random_forest,0.7380952380952381,0.7619047619047619,0.7857142857142857
785,windcorrelations,logreg,0.9285714285714286,0.8571428571428572,0.9285714285714286
786,cleveland,logreg,0.8078231292517006,0.7891156462585034,0.7857142857142857
787,witmercensus,random_forest,0.5892857142857143,0.7321428571428572,0.7946428571428572
788,triazines,random_forest,0.6613965744400527,0.6027667984189724,0.7154150197628458
789,fric,random_forest,0.5758928571428572,0.5758928571428572,0.7723214285714286
790,elusage,random_forest,0.8285714285714285,0.7571428571428571,0.8785714285714286
791,diabetesnumeric,random_forest,0.475,0.5125,0.55
792,fric,knn,0.7323632344814883,0.9058758519064285,0.8925216430281819
793,fric,random_forest,0.569583931133429,0.6406025824964132,0.8923959827833572
794,fric,random_forest,0.6298701298701299,0.5367965367965368,0.7716450216450217
795,disclosurextampered,logreg,0.5668316831683169,0.48100626389169526,0.5128308749242272
796,cpu,logreg,1.0,0.9375,0.9581117021276595
798,cholesterol,logreg,0.5573170731707316,0.5095121951219512,0.5451219512195122
799,fric,random_forest,0.8432597004311303,0.859727098982177,0.8698831059158185
800,pyrim,logreg,0.95,0.773076923076923,0.8346153846153846
