dataset_id,dataset_name,n_rows_used,n_features_used,best_algorithm,mf_basic_n_samples,mf_basic_n_features,mf_basic_n_numeric,mf_basic_n_categorical,mf_basic_n_classes,mf_basic_missing_ratio,mf_stat_num_mean_abs,mf_stat_num_std_mean,mf_stat_num_skew_abs_mean,mf_stat_num_kurt_mean,mf_stat_abs_corr_mean,mf_stat_target_entropy,mf_struct_samples_per_feature,mf_struct_cat_to_num_ratio,mf_struct_class_imbalance,mf_struct_mean_unique_ratio,mf_struct_zero_ratio_numeric,mf_struct_avg_cat_cardinality
276,metabatchincrementalarff,74,62,logreg,74.0,62.0,62.0,0.0,4.0,0.0,55.589587944856156,309.36970077237544,2.2576484411356317,13.385613607973555,0.26448425464352,1.3100298863618751,1.1935483870967742,0.0,16.666666666666668,0.6373147340889277,0.20727986050566696,0.0
277,metaensemblesarff,74,62,logreg,74.0,62.0,62.0,0.0,4.0,0.0,55.589587944856156,309.36970077237544,2.2576484411356317,13.385613607973555,0.26448425464352,1.543706343096797,1.1935483870967742,0.0,9.0,0.6373147340889277,0.20727986050566696,0.0
278,metainstanceincrementalarff,74,62,random_forest,74.0,62.0,62.0,0.0,4.0,0.0,55.589587944856156,309.36970077237544,2.2576484411356317,13.385613607973555,0.26448425464352,1.2358298841100495,1.1935483870967742,0.0,18.0,0.6373147340889277,0.20727986050566696,0.0
285,flags,194,29,random_forest,194.0,29.0,25.0,4.0,8.0,0.0,29.839175257731963,91.38717067022753,2.4547710653288948,12.51154739478553,0.12723285575548185,2.546339743843265,6.689655172413793,0.16,15.0,0.08816210451475293,0.551958762886598,54.25
307,307,990,12,random_forest,990.0,12.0,10.0,2.0,11.0,0.0,0.775989090909091,0.6993318109424391,0.14089822122272994,-0.39142721501684685,0.21129965022557956,3.4594316186214273,82.5,0.2,1.0,0.6821548821548822,0.0006060606060606061,8.5
327,bridges,105,12,random_forest,105.0,12.0,4.0,8.0,6.0,0.04841269841269843,859.5754761904761,179.0056744220816,0.9959898475128299,1.5072881808361664,0.2197705137834032,2.3176028118025194,8.75,2.0,4.4,0.2507936507936508,0.0,15.75
328,bridges,105,12,random_forest,105.0,12.0,2.0,10.0,6.0,0.04841269841269843,14.117619047619048,7.37029335949498,0.815247696272728,0.33931737793201977,0.12947741803771187,2.3176028118025194,8.75,5.0,4.4,0.15158730158730158,0.0,13.3
329,hayesroth,160,4,random_forest,160.0,4.0,4.0,0.0,3.0,0.0,1.9375,0.9124890720951268,0.5740318024082077,-0.7422881167188244,0.03178967019476426,1.5154656357027676,40.0,0.0,2.096774193548387,0.0234375,0.0,0.0
333,monksproblems,556,6,random_forest,556.0,6.0,6.0,0.0,2.0,0.0,1.9211630695443647,0.7622853419765282,0.024461577654986282,-1.647687006206113,0.014985836855703337,0.9999999999971146,92.66666666666667,0.0,1.0,0.005095923261390888,0.0,0.0
334,monksproblems,601,6,random_forest,601.0,6.0,6.0,0.0,2.0,0.0,1.916250693288963,0.7598875400781863,0.009352441707065623,-1.6410824801816244,0.013879023721716455,0.9274373177961424,100.16666666666667,0.0,1.9174757281553398,0.004714364947310039,0.0,0.0
335,monksproblems,554,6,random_forest,554.0,6.0,6.0,0.0,2.0,0.0,1.9127557160048134,0.7627625527400675,0.01995708100500645,-1.64921103199315,0.011491320334804765,0.998862151138898,92.33333333333333,0.0,1.0827067669172932,0.005114320096269555,0.0,0.0
336,SPECT,267,22,logreg,267.0,22.0,22.0,0.0,2.0,0.0,0.3115423901940756,0.45197724539526035,0.8943072074097291,-0.9016463337718018,0.19736115500576612,0.7337524087960748,12.136363636363637,0.0,3.8545454545454545,0.0074906367041198485,0.6884576098059244,0.0
337,SPECTF,349,44,random_forest,349.0,44.0,44.0,0.0,2.0,0.0,65.03223495702005,9.312904725278703,1.8210042360503842,5.782937715235994,0.27881890187365765,0.8446127584945315,7.931818181818182,0.0,2.6736842105263157,0.12288356342797603,0.0,0.0
338,grubdamage,155,8,logreg,155.0,8.0,5.0,3.0,4.0,0.0,20.18709677419355,1.7969299868138264,0.3195410852422008,-0.8719414877571087,0.18465537778288327,1.924028358268226,19.375,0.6,2.5789473684210527,0.04919354838709678,0.06193548387096774,9.0
340,squashstored,52,24,random_forest,52.0,24.0,23.0,1.0,3.0,0.00560897435897436,379.0403177257525,87.3963264179333,0.5076865556000675,-0.2947227509953127,0.395377092981738,1.4642745091432015,2.1666666666666665,0.043478260869565216,2.875,0.7235576923076922,0.0,3.0
342,squashunstored,52,23,random_forest,52.0,23.0,22.0,1.0,3.0,0.03260869565217392,278.2771765734266,62.94657157085572,0.41959484944921643,-0.18931764619056243,0.4327197944348131,1.3143204867018508,2.260869565217391,0.045454545454545456,6.0,0.68561872909699,0.0,3.0
345,345,76,45,logreg,76.0,45.0,3.0,42.0,3.0,0.006432748538011696,1.6008771929824561,1.2180092579328397,0.6046127600009541,-0.9178894716249872,0.40629800518182546,0.4774066425119603,1.6888888888888889,14.0,23.333333333333332,0.07046783625730993,0.3333333333333333,5.404761904761905
444,analcatdataboxing,132,3,random_forest,132.0,3.0,1.0,2.0,2.0,0.0,6.5,3.4652032534594936,0.0,-1.2172936187247456,0.0,0.9958560657482312,44.0,2.0,1.1639344262295082,0.06313131313131314,0.0,6.5
446,prnncrabs,200,7,logreg,200.0,7.0,6.0,1.0,2.0,0.0,22.728666666666665,6.491909691746174,0.0379405399251976,-0.628048913664785,0.9249239850952693,0.9999999999971146,28.571428571428573,0.16666666666666666,1.0,0.46142857142857147,0.0,2.0
448,analcatdataboxing,120,3,random_forest,120.0,3.0,1.0,2.0,2.0,0.0,6.5,3.4665266078149575,0.0,-1.2173302577474678,0.0,0.9340680553726057,40.0,2.0,1.8571428571428572,0.06666666666666667,0.0,6.0
449,analcatdatahomerun,162,27,random_forest,162.0,27.0,24.0,3.0,4.0,0.0,18.24074074074074,10.592993438727204,0.9377672264029414,2.1304981921531225,0.11210690144775395,1.2424854831351655,6.0,0.125,50.5,0.19958847736625515,0.30426954732510286,7.0
450,analcatdatalawsuit,264,4,random_forest,264.0,4.0,4.0,0.0,2.0,0.0,17.184876893939396,6.781059946587086,0.6639332385332568,-0.1549945116692249,0.31206431463232287,0.3732315518894397,66.0,0.0,12.894736842105264,0.2746212121212121,0.1581439393939394,0.0
451,irish,500,5,random_forest,500.0,5.0,2.0,3.0,2.0,0.0128,69.493,15.195713035847401,0.27889108262159557,-0.3764720812525464,0.2480215818219107,0.9909324035654845,100.0,1.5,1.2522522522522523,0.0444,0.0,5.0
452,analcatdatabroadwaymult,285,7,random_forest,285.0,7.0,3.0,4.0,7.0,0.013533834586466164,27.403321894736845,6.9466839440258035,0.38262925033770473,-1.0655317957502695,0.3272293727466952,2.475263408933947,40.714285714285715,1.3333333333333333,5.619047619047619,0.10977443609022557,0.0,25.75
454,analcatdatahalloffame,1200,17,logreg,1200.0,17.0,15.0,2.0,3.0,0.000931372549019608,640.6634237222223,324.4438826766734,1.110118947554221,2.21942066359082,0.5569216783591289,0.5402951560646766,70.58823529411765,0.13333333333333333,21.333333333333332,0.4200490196078432,0.00044444444444444447,603.0
455,cars,406,8,random_forest,406.0,8.0,7.0,1.0,3.0,0.004310344827586207,485.64964813511614,143.77565488777208,0.49633976976928923,-0.5321126939162321,0.6422602276875372,1.3279423646085267,50.75,0.14285714285714285,3.4794520547945207,0.3346674876847291,0.0,312.0
458,analcatdataauthorship,841,70,knn,841.0,70.0,70.0,0.0,4.0,0.0,10.12524205877357,5.356526083946353,1.1158652239503413,2.359129460351534,0.16155790490973115,1.7874160492203948,12.014285714285714,0.0,5.763636363636364,0.034312892814676414,0.11037880074740955,0.0
459,analcatdataasbestos,83,3,logreg,83.0,3.0,1.0,2.0,2.0,0.0,147.0722891566265,75.8838623437688,0.025082469040279293,-1.2403333647323873,0.0,0.9915017866826692,27.666666666666668,2.0,1.2432432432432432,0.27309236947791166,0.0,2.5
460,analcatdatareviewer,238,8,logreg,238.0,8.0,0.0,8.0,3.0,0.38550420168067223,0.0,0.0,0.0,0.0,0.0,1.4767601862392838,29.75,8.0,2.2962962962962963,0.13602941176470587,0.0,32.375
461,analcatdatacreditscore,100,6,random_forest,100.0,6.0,6.0,0.0,2.0,0.0,37.540400000000005,50.90231496004039,2.4474369742111386,8.959526006418216,0.14920282306947644,0.8414646362052902,16.666666666666668,0.0,2.7037037037037037,0.3116666666666667,0.4483333333333333,0.0
463,backache,180,32,logreg,180.0,32.0,32.0,0.0,2.0,0.0,8.184135416666667,2.8869416604827456,2.6770709498003296,13.687538802564005,0.09582511471177516,0.5813214987608174,5.625,0.0,6.2,0.08628472222222222,0.6413194444444444,0.0
464,prnnsynth,250,2,logreg,250.0,2.0,2.0,0.0,2.0,0.0,0.28855994426,0.372159317733443,0.14865085036756992,-0.8789167415114039,0.19644316351279217,0.9999999999971146,125.0,0.0,1.0,1.0,0.0,0.0
465,analcatdatacyyoung,97,10,logreg,97.0,10.0,7.0,3.0,2.0,0.0,332.0254580265096,25.509447604043494,0.3139481718816769,-0.720036666157241,0.4280923103488123,0.8071675554260052,9.7,0.42857142857142855,3.0416666666666665,0.41546391752577316,0.0029455081001472753,22.0
466,schizo,340,14,random_forest,340.0,14.0,12.0,2.0,2.0,0.17521008403361346,11.97896911764706,7.550210058811931,0.19498159924310346,1.4461678032452288,0.49845324977198585,0.9987766081808276,24.285714285714285,0.16666666666666666,1.0858895705521472,0.4668067226890756,0.0,2.5
467,analcatdatajapansolvent,52,9,random_forest,52.0,9.0,8.0,1.0,2.0,0.0,0.2511266826923077,0.49235999481398807,2.497585502949118,8.966130687202481,0.4337440145190072,0.9989326546231728,5.777777777777778,0.125,1.08,0.9529914529914529,0.0,52.0
468,confidence,72,3,knn,72.0,3.0,3.0,0.0,6.0,0.0,641.2180555555556,506.45280974588144,0.3652662931685781,-1.0993380586468862,0.7576041410653872,2.5849625007125,24.0,0.0,1.0,0.9444444444444445,0.0,0.0
469,analcatdatadmft,797,4,logreg,797.0,4.0,2.0,2.0,6.0,0.0,2.589084065244667,2.140631845801406,0.42730000256001993,-0.874734699162982,0.5933679746559976,2.580259207773995,199.25,1.0,1.2601626016260163,0.006587202007528231,0.25282308657465496,2.5
470,profb,672,9,knn,672.0,9.0,5.0,4.0,2.0,0.1984126984126984,28.800744047619048,5.649864683884347,0.345610751181019,-0.36347116924209577,0.07930767297925703,0.9182958340516041,74.66666666666667,0.8,2.0,0.032572751322751316,0.01607142857142857,15.25
